text,speaker,label
"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",john-barrasso,true
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",mitt-romney,true
"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",donald-trump,false
The cost of health care is now the single-biggest factor driving down the federal budget deficit.,barack-obama,mostly-true
"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",george-will,true
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,elena-kagan,false
Says Charlie Crist supports cuts to the Medicare Advantage program.,republican-party-florida,false
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,jeanne-shaheen,true
"In the past 20 years, Egypt has made great strides in political and democratic reform.",sameh-shoukry,false
Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,gwen-graham,true
There is a federal criminal law that says its a crime to transport dentures across state lines.,bob-goodlatte,mostly-true
Austin is burdened by the fastest-growing tax increases of any major city in the nation.,jim-skaggs,false
"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",mitt-romney,barely-true
Says David Jolly supports privatizing Social Security.,florida-democratic-party,barely-true
"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",mark-shields,true
A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,national-association-realtors,mostly-true
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,brady-campaign-prevent-gun-violence,false
"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",alison-lundergan-grimes,mostly-true
"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",mitch-mcconnell,mostly-true
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",donald-trump,false
"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",frank-caprio,half-true
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,scott-walker,mostly-true
"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",ron-johnson,half-true
"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",donna-brazile,half-true
The economy is creating jobs at the fastest pace since 1999.,barack-obama,true
Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,blog-posting,pants-fire
"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",hillary-clinton,mostly-true
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,hillary-clinton,mostly-true
About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,joe-scarborough,half-true
Says the U.S. Supreme Court found that Social Security is not guaranteed.,david-jolly,true
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,jon-keyser,false
Oregonians have an amazing no-cost way to fight abortion with free political donations,oregon-right-life-pac,true
"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",sean-hannity,pants-fire
"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",rush-limbaugh,barely-true
Newt Gingrichs immigration plan offers a new doorway to amnesty.,mitt-romney,mostly-true
"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",patricia-morgan,barely-true
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,hillary-clinton,mostly-true
Donald Trump has said nuclear proliferation is OK.,mark-warner,half-true
Barack Obama has never even worked in business.,rob-portman,false
Says the Arizona immigration law expressly bans racial profiling.,john-cornyn,half-true
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,louie-gohmert,false
"On the VA: Over 300,000 veterans have died waiting for care.",donald-trump,barely-true
Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,jeff-kruse,pants-fire
Im the only one whos fought against developers draining the Everglades!,kendrick-meek,false
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,americans-united-change,half-true
"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",paul-skip-stam,half-true
Climate change is directly related to the growth of terrorism.,bernie-s,barely-true
The jobs bill includes President Obamas tax on soup kitchens,eric-cantor,barely-true
"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",robert-puente,half-true
We have more illegal immigrants here than we did five years ago.,marco-rubio,false
Says Rick Perry wrote a letter supporting Hillarycare.,ron-paul,barely-true
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,blog-posting,false
"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",nancy-pfotenhauer,pants-fire
(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,gary-johnson,mostly-true
Says Chris Christie vetoed a jobs package of 30 bills.,stephen-sweeney,half-true
Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,pat-quinn,half-true
Barack Obama is in an economy thats only worsened since hes been president of the United States.,matthew-dowd,half-true
"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",one-new-jersey,half-true
Says Thomas Eric Duncan came into the United States with an elevated temperature.,darrell-issa,false
Says judges get better benefits at a lower cost than everybody else in the state.,chris-christie,true
Small businesses create 70 percent of the jobs in America.,eric-cantor,true
"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",dream-defenders,half-true
If Texas were a country our economy would rank # 10...in the WORLD.,greg-abbott,mostly-true
"Payday lenders profit from the poor by charging 1,000-plus percent interest.",wendy-davis,half-true
It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,americans-tax-reform,mostly-true
The Republicans have 2 percent of the Muslim vote.,tamara-holder,mostly-true
"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",hank-johnson,mostly-true
"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",chain-email,pants-fire
"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",mike-murphy,true
Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,hillary-clinton,mostly-true
"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",sean-hannity,false
Not one Republican has the guts to recognize that climate change is real.,bernie-s,false
"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",bernie-s,half-true
David Dewhurst has a record of promoting an income tax.,ted-cruz,pants-fire
Says Obama health reform law denies millions access to affordable insurance.,eric-hovde,false
Says HB2 hasnt moved the needle one iota on North Carolinas economy.,john-skvarla,barely-true
Says Rick Scott called education not a core function of the state.,florida-democratic-party,false
"The Family Research Council, according to some government agencies, is a terrorist group.",ben-carson,false
"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",blue-oregon,true
Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,raymond-bateman,true
Obamacare is the biggest tax increase in American history.,mark-neumann,false
Milwaukee Mayor Tom Barrett has held the line on property taxes.,barack-obama,barely-true
Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,sherrod-brown,false
"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",nextgen-climate,half-true
On how money from a possible lease of the Ohio Turnpike would be used,john-kasich,half-true
"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.",chris-moews,barely-true
There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,robby-mook,mostly-true
"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.",fix-austin-schools,mostly-true
The Paul Ryan budget proposal would privatize Medicare.,agenda-project,mostly-true
Says Marco Rubio is the one for an open border.,rand-paul,pants-fire
Says cuts to Medicare affect people who have already paid in. We paid for it.,national-republican-senatorial-committee,barely-true
David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.,kesha-rogers,barely-true
Providences port is 200 miles closer to Europe than any other Eastern port.,james-bennett,false
"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.",jeff-merkley,mostly-true
"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",judd-gregg,true
Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.,donald-trump,barely-true
We now have driven (health care) costs down to the lowest theyve been in 50 years.,hillary-clinton,false
"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.",national-republican-senatorial-committee,half-true
"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent.""",michael-moore,mostly-true
"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.",hillary-clinton,mostly-true
Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,barack-obama,false
Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,paul-sarlo,half-true
Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,connie-mack,true
A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,facebook-posts,false
Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.,allen-west,pants-fire
"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",bill-white,true
Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.,facebook-posts,pants-fire
"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.",ken-cuccinelli,false
"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.",donald-trump,half-true
"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent.",gwen-moore,mostly-true
On legalizing illegal immigrants.,lou-dobbs,half-true
"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.",doug-thomas,half-true
"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.",steve-latourette,half-true
Chris Christie has not increased the taxes on anyone.,kim-guadagno,half-true
The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S.,marco-rubio,barely-true
"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",scott-walker,true
"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare.",ted-strickland,half-true
Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.,us-chamber-commerce,barely-true
Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.,scott-brown,barely-true
"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.",christine-sinicki,false
"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs.",rick-perry,mostly-true
Texas this fiscal year will have more money in reserve than the other 49 states combined.,dan-patrick,pants-fire
On using the Strategic Petroleum Reserve.,barack-obama,false
"Says Scott Walker wants to ban common forms of birth control, including the pill.",tom-barrett,half-true
Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.,roy-blunt,false
"Shelby County donated Im sorry, gave 44 schools to the city of Memphis.",chris-thomas,half-true
"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq.",lindsey-graham,half-true
The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.,rush-limbaugh,barely-true
"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.",joyce-kaufman,true
The people of Rhode Island dont want same-sex marriage.,christopher-plante,pants-fire
"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.",gerry-connolly,half-true
Not even old Gen. Eisenhower saluted military personnel as president.,rachel-maddow,barely-true
"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.",george-will,true
"You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.",john-garamendi,barely-true
"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.",peter-kilmartin,half-true
"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.",roger-williams,half-true
Says Alex Sink failed Florida homeowners by using predatory lending practices.,republican-party-florida,false
You cant check out a library book without a photo ID.,david-dewhurst,barely-true
Says that Starbucks took Christmas off of their brand new cups.,joshua-feuerstein,pants-fire
Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.,bill-belichick,mostly-true
"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.",ted-cruz,false
"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.",associated-press,true
The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.,josh-mandel,half-true
"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders.",nathan-deal,half-true
A college loan is the only loan in the United States that you cannot refinance when interest rates go down.,bill-clinton,mostly-true
"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",alan-grayson,true
Says he raised average family income by 50 percent during his tenure as Arkansas governor.,mike-huckabee,barely-true
"According to David Cay Johnston, the average American pays about 22 percent of their income to federal taxes. The richest 400 Americans pay about 16 percent of their income to federal taxes.",chris-hayes,half-true
"In the class of 1968 at Patrice Lumumba University in Moscow, Mahmoud Abbas was one of the members of that class, and so was Ali Khamenei. And thats where they first established relationships with the young Vladimir Putin.",ben-carson,pants-fire
"Last week the Texas State Board of Education (SBOE), led by Rick Perrys appointee, voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change.",bill-white,half-true
"As a U.S. senator with salary and perks, ‪#Bernie‬ is in the top 1 percent, but still paid only 13 percent in taxes last year.",dinesh-dsouza,barely-true
"Says that while Foster was mayor, Rick Kriseman was ineffective in the Florida House of Representatives because there was no legislation that passed the House that had (Krisemans) name on it.",bill-foster,half-true
Says Texas routinely gets a lot more federal spending than it pays in taxes.,rachel-maddow,mostly-true
Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million.,clackamas-county-commission,false
Says Texas has 11 different felonies you can commit with an oyster.,scott-henson,mostly-true
The Obama administration is unwinding our nations welfare-to-work requirements.,bob-mcdonnell,false
"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1.",don-francis,true
The Redskins Training Camp deal generated $40 million in new private investment in the city.,dwight-jones,half-true
The GOP budget plan would cut nearly a million jobs.,organizing-america,half-true
Says Hillary Clinton defended Syrias President Assad as a possible reformer at the start of that countrys civil war.,chris-wallace,half-true
"The Postal Services financial losses result from a 2006 law that drains $5 billion a year from post office revenue, while the Postal Service is forced to overpay billions more into federal accounts.",save-americas-postal-service,half-true
A 2013 state law would allow the operator of an iron ore mine in northern Wisconsin to fill in pristine streams and ponds with mine waste.,dan-kaufman,mostly-true
America is one of the highest-taxed nations in the world.,donald-trump,barely-true
"Since Republicans took over after the 2010 election, the graduation rate in Wisconsin has gone from 86 percent to 88 percent. The black graduation rate has gone from 60 percent to 65 percent. The Latino graduation rate has gone from 65 percent to 71 percent.",dale-kooyenga,half-true
"It has been estimated that nearly 40 percent of all guns sold in America are sold by private, unlicensed sellers either online or through gun shows.",terry-mcauliffe,barely-true
"Since Rick Perry became governor, Texas has gone from 46th in the country to 50th in the population that graduates from high school.",new-hampshire-democratic-party,half-true
Says Amanda Fritz manages less than 5 percent of city operations.,mary-nolan,true
The streetcar project planned by Mayor Tom Barrett would be a 1900s style trolley.,jim-steineke,half-true
"Americans, in the last 30 years, have more than doubled the amount of money we are spending per child (on education) and the results have gotten worse, not better.",michelle-rhee,half-true
Polls show that Floridians dont want to repeal the Affordable Care Act.,joe-gibbons,barely-true
Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.,steve-rothman,false
On offshore drilling for energy,mark-warner,true
"Under a proposed medical marijuana amendment in Florida, you dont get refills -- you get it forever.",drug-free-america,barely-true
"Enacting the Right-to-Carry Act would amount to expanding the rights of sex offenders, terrorists, child predators, and abusers to carry concealed weapons across state lines.",david-cicilline,half-true
Says the treasurers office has saved $37 million in management costs for the oversight of public investments.,ted-wheeler,barely-true
Jorge Elorza wants to impose a municipal income tax.,vincent-buddy-cianci,false
The Supreme Court cant overrule the other two branchesof government.,mike-huckabee,barely-true
I havent raised taxes in the time Ive been the governor of New Jersey.,chris-christie,half-true
Congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure.,jon-stewart,true
Gov. Maggie Hassans budget proposal raises taxes on small businesses and increases taxes and fees by $100 million.,americans-prosperity,mostly-true
SaysRand Paulhas put out budgets to cut the military in half.,adam-kinzinger,false
Says legislative cuts mean Texas is spending on average $500 less per student.,donna-howard,true
We know that Saudi Arabia started al-Qaida.,bob-graham,half-true
Says Williamson County Attorney Jana Duty has never prosecuted a single adult felony case.,john-bradley,mostly-true
"Says although the unemployment rate seems to be improving, it does not reflect real job creation -- its caused by a shrinking of the actual labor force.",arianna-huffington,mostly-true
"In general, it appears Wisconsins right to work bill would likely apply to the Green Bay Packers players and their union.",jon-erpenbach,mostly-true
"The so-called defense minister of the Peoples Republic of Donetsk ... actually posted a bragging social media posting of having shot down a military transport. And then when it became apparent it was civilian, they pulled it down from social media.",john-kerry,mostly-true
"Right now one of our highest job growth sectors is Leisure and Hospitality. Weve added jobs that mostly fall within the restaurant and bar sector industry. These are not high-paying jobs, as the U.S. Department of Labor estimates this is an industry sector with the lowest average wages and the lowest proportion of its workforce earning minimum or subminimum wage jobs.",lou-greenwald,mostly-true
"Gov. Scott Walker bought 80 new, brand-new vehicles for the state that we probably dont need.",kathleen-vinehout,barely-true
"Says he passed eight measures, including ones to prevent groping at airport security checks and to bar sanctuary cities in Texas.",david-dewhurst,half-true
"Before our last three presidents, you have to go back to the 1800s, early 1800s to find three presidents in a row being consecutively re-elected.",joe-scarborough,true
"Dan Patrick said that if women get paid less than a man for the same job, that thats not a problem.",leticia-van-de-putte,half-true
"There have even been Republican congressmen who have said, If you give us more money we dont know where we would even put additional Border Patrol agents.",craig-melvin,barely-true
Tom Reed has actually voted for every single trade deal that has ever come before him in any form.,john-plumb,true
New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.,tom-price,false
Say New Jersey Reps. Donald Payne and Frank Pallone are socialists who are openly serving in the U.S. Congress.,blog-posting,pants-fire
The unemployment rate may be as high as 42 percent.,donald-trump,pants-fire
"Common Core is not from the federal government, they do not have their fingerprints on this thing at all.",sondy-pope,mostly-true
"Says Scott Walker brags a lot about having an independent agency investigate police shootings. Of course, he didnt fund it.",gwen-moore,barely-true
"When the country was founded, Congress had exactly the same attitude about the sanctity of Christmas celebrations that a 7-Eleven does today: Yeah, were open.",jon-stewart,pants-fire
"In Miami-Dade County, we spend at our school system over $20 million every year educating recent immigrants.",carlos-curbelo,mostly-true
"Kim Myers voted repeatedly to raise taxes on the people of Broome County, but made millions off of tax savings when her family business relocated its headquarters.",claudia-tenney,half-true
"Californias Prop 60, which would requirecondom usein adult films, would put workers in the adult film industry at riskfor lawsuits and harassment.",no-60-campaign-against-condom-requirement-adult-fi,half-true
Says today unemployment has been running near 12 percent or more for the last four years and the Legislature hasnt done much to lower it.,tim-knopp,half-true
John Mica voted to borrow $10 trillion.,sandy-adams,half-true
Says opponent Mary Burke told reporters she would have required workers to give up bargained-for healthcare and retirement benefits like Gov. Walker.,brett-hulsey,barely-true
We do not want to raise anybodys tax rates. Thats never been on the table.,james-clyburn,barely-true
"When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan, the Democrats didnt make that a partisan issue.",hillary-clinton,half-true
House Republicans who complained they didnt have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling.,alex-sink,true
Says no one from the Bush family attended the 2012 Republican National Convention and there was no President Bush at the 2008 convention.,reince-priebus,false
Crime is rising.,donald-trump,pants-fire
"(Flint, Mich., is) paying three times more for poison water than I am paying in Burlington, Vt., for clean water.",bernie-s,mostly-true
Weve got a personal tax system thats so complicated it costs Americans about $500 billion a year to comply with the current tax code.,john-boehner,barely-true
"Says a Portland school gives Muslim students their own school provided prayer room, prayer rugs, and lets them out of class five times a day to pray to Allah.",victoria-taft,pants-fire
"(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.",bernie-s,false
The bulk of the people who are shot with a weapon other than these drug gangs taking on one another end up being shot with their own weapon.,joe-biden,half-true
Says Miami Congressman Carlos Curbelo supports drilling offshore and repeatedly voted against President Obamas ability to fight pollution and combat climate change.,democratic-congressional-campaign-committee,barely-true
You wonder why you dont see Rand Paul as much; hes still shopping for his billionaire. Hes like the only one who hasnt found a billionaire to fund his super PAC.,claire-mccaskill,false
"Says Donald Trump cashed in on Sept. 11,collecting $150,000 in federal funds intended to help small businesses recover even though days after the attack Trump said his properties were not affected.",joseph-crowley,half-true
An independent payment advisory board created by in the health care reform law is like a Medicare IRS with the power to cut Medicare in order to pay for new government programs.,60-plus-association,pants-fire
The Mitchell Park Domes lose about $1 million-plus every year and the number of people going to the Domes has been going down.,chris-abele,false
"Under a bill before the legislature, youd have to go to court to fire an employee.",kenneth-block,false
"Says nearly 29,000 Oregonians almost 5 percent of all homeowners are 90 days or more delinquent on their mortgage.",ellen-rosenblum,true
George Allen and his colleagues in the Senate turned the biggest surplus in the history of the United States into the biggest deficit in the history of the United States.,tim-kaine,half-true
Says President Obama has cracked down on employers who are attracting undocumented immigrants and hiring them more than any previous president.,debbie-wasserman-schultz,half-true
Says Newt Gingrich made an affirmative statement that he would not only support but he would campaign for Republicans who were in support of the barbaric procedure known as partial-birth abortion.,michele-bachmann,mostly-true
U.S. global AIDS spending helped reduce political instability and violence by 40 percent in recipient nations.,tom-daschle,barely-true
The actual (construction) contracts that weve awarded to date have come in several hundred million dollars below estimates.,jeff-morales,mostly-true
"State school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.",virginia-education-association,true
"Says Tammy Baldwin introduced a bill that would require doctors and other health care workers to ask patients, including young children, whether they are gay, lesbian, bisexual, or if they know their gender identity.",glenn-grothman,barely-true
"According to a national survey, transit ridership among people age 16 to 34 increased 40 percent between 2001 and 2009.",jeff-dickerson,half-true
Im the only (Republican)candidate that has actually reduced the size of government.,bobby-jindal,half-true
"After how hard you work and how much you pay in taxes, New York City ends up getting the money. Im Chris Jacobs. I think its time we have someone in Albany thats making sure our region gets our fair share",chris-jacobs,false
Says state Supreme Court candidate Joe Donald twice supported incumbent Justice Rebecca Bradley.,joanne-kloppenburg,mostly-true
"Says a tweet he sent out wasnt saying, check out a sex tape. It was just take a look at the background of Alicia Machado.",donald-trump,pants-fire
Texas leads the nation in the percentage of residents without health insurance.,paul-krugman,true
